ID	d1	Topic	d1	Telugu	d1	English	d1	Clue	d1	Image	d1	Sound
85	|	Animals_2	|	వేట కుక్క 	|	hound	|	వేట కుక్క_క్లూ	|	hound.jpg	|	hound.wav
86	|	Animals_2	|	తేనె పిట్ట	|	humming bird 	|	తేనె పిట్ట_క్లూ	|	humming bird .jpg	|	humming bird .wav
87	|	Animals_2	|	సివంగి 	|	hyena	|	సివంగి_క్లూ	|	hyena.jpg	|	hyena.wav
88	|	Animals_2	|	తొండ 	|	iguaana	|	తొండ_క్లూ	|	iguaana.jpg	|	iguaana.wav
89	|	Animals_2	|	ఉడుము	|	iguana 	|	ఉడుము_క్లూ	|	iguana .jpg	|	iguana .wav
90	|	Animals_2	|	జెముడు కాకి	|	jack daw 	|	జెముడు కాకి_క్లూ	|	jack daw .jpg	|	jack daw .wav
91	|	Animals_2	|	గుంట నక్క 	|	jackal	|	గుంట నక్క_క్లూ	|	jackal.jpg	|	jackal.wav
92	|	Animals_2	|	పులి 	|	jaguar	|	పులి_క్లూ	|	jaguar.jpg	|	jaguar.wav
93	|	Animals_2	|	కంగారు పిల్ల 	|	joey	|	కంగారు పిల్ల_క్లూ	|	joey.jpg	|	joey.wav
94	|	Animals_2	|	కంగారు 	|	kangaroo	|	కంగారు_క్లూ	|	kangaroo.jpg	|	kangaroo.wav
95	|	Animals_2	|	పిల్లి పిల్ల 	|	kitten	|	పిల్లి పిల్ల_క్లూ	|	kitten.jpg	|	kitten.wav
96	|	Animals_2	|	ఆరుద్ర పురుగు	|	lady bird	|	ఆరుద్ర పురుగు_క్లూ	|	lady bird.jpg	|	lady bird.wav
97	|	Animals_2	|	లేడీ బగ్	|	lady bug  	|	లేడీ బగ్_క్లూ	|	lady bug  .jpg	|	lady bug  .wav
98	|	Animals_2	|	మేక పిల్ల 	|	lamb	|	మేక పిల్ల_క్లూ	|	lamb.jpg	|	lamb.wav
99	|	Animals_2	|	భరద్వాజ పక్షి 	|	lark	|	భరద్వాజ పక్షి_క్లూ	|	lark.jpg	|	lark.wav
100	|	Animals_2	|	భరత పక్షి	|	lark	|	భరత పక్షి_క్లూ	|	lark.jpg	|	lark.wav
101	|	Animals_3	|	జలగ 	|	leech	|	జలగ_క్లూ	|	leech.jpg	|	leech.wav
102	|	Animals_3	|	చిరుత పులి 	|	leopard	|	చిరుత పులి_క్లూ	|	leopard.jpg	|	leopard.wav
103	|	Animals_3	|	పేలు 	|	lice	|	పేలు_క్లూ	|	lice.jpg	|	lice.wav
104	|	Animals_3	|	సింహము 	|	lion	|	సింహము_క్లూ	|	lion.jpg	|	lion.wav
105	|	Animals_3	|	కొండ ముచ్చు	|	lion monkey	|	కొండ ముచ్చు_క్లూ	|	lion monkey.jpg	|	lion monkey.wav
106	|	Animals_3	|	ఆడ సింహము 	|	lioness	|	ఆడ సింహము_క్లూ	|	lioness.jpg	|	lioness.wav
107	|	Animals_3	|	బల్లి 	|	lizard	|	బల్లి_క్లూ	|	lizard.jpg	|	lizard.wav
108	|	Animals_3	|	మిడుత 	|	locust	|	మిడుత_క్లూ	|	locust.jpg	|	locust.wav
109	|	Animals_3	|	వస పిట్ట	|	magpie	|	వస పిట్ట_క్లూ	|	magpie.jpg	|	magpie.wav
110	|	Animals_3	|	ముంగిస 	|	mangoose	|	ముంగిస_క్లూ	|	mangoose.jpg	|	mangoose.wav
111	|	Animals_3	|	ఆడ గుర్రము 	|	mare	|	ఆడ గుర్రము_క్లూ	|	mare.jpg	|	mare.wav
112	|	Animals_3	|	కోతి	|	monkey	|	కోతి_క్లూ	|	monkey.jpg	|	monkey.wav
113	|	Animals_3	|	దోమ 	|	mosquito	|	దోమ_క్లూ	|	mosquito.jpg	|	mosquito.wav
114	|	Animals_3	|	కొండ గొర్రె 	|	mountain goat	|	కొండ గొర్రె_క్లూ	|	mountain goat.jpg	|	mountain goat.wav
115	|	Animals_3	|	చిట్టెలుక 	|	mouse	|	చిట్టెలుక_క్లూ	|	mouse.jpg	|	mouse.wav
116	|	Animals_3	|	కంచర గాడిద	|	mule	|	కంచర గాడిద_క్లూ	|	mule.jpg	|	mule.wav
117	|	Animals_3	|	కస్తూరి మృగము	|	musk deer	|	కస్తూరి మృగము_క్లూ	|	musk deer.jpg	|	musk deer.wav
118	|	Animals_3	|	అష్ట శిరోపాది	|	octopus	|	అష్ట శిరోపాది_క్లూ	|	octopus.jpg	|	octopus.wav
119	|	Animals_3	|	గాలు కొంగ	|	openbill stork	|	గాలు కొంగ_క్లూ	|	openbill stork.jpg	|	openbill stork.wav
120	|	Animals_3	|	నిప్పు కోడి 	|	ostrich	|	నిప్పు కోడి_క్లూ	|	ostrich.jpg	|	ostrich.wav
121	|	Animals_3	|	గుడ్ల గూబ	|	owl	|	గుడ్ల గూబ_క్లూ	|	owl.jpg	|	owl.wav
122	|	Animals_3	|	ఎద్దు 	|	ox	|	ఎద్దు_క్లూ	|	ox.jpg	|	ox.wav
123	|	Animals_3	|	పాండా	|	panda	|	పాండా_క్లూ	|	panda.jpg	|	panda.wav
